fold,test_subject,model,n_train,n_test,acc,precision,recall,f1,auc,confusion_matrix
18,018,Logistic,3768,200,0.725,0.019230769230769232,0.2,0.03508771929824561,0.37025641025641026,"[[144, 51], [4, 1]]"
18,018,SVM,3768,200,0.975,0.0,0.0,0.0,0.4338461538461539,"[[195, 0], [5, 0]]"
18,018,XGBoost,3768,200,0.965,0.0,0.0,0.0,0.42871794871794877,"[[193, 2], [5, 0]]"
19,019,LDA,3768,200,0.965,0.0,0.0,0.0,0.5122131754256106,"[[193, 0], [7, 0]]"
19,019,Logistic,3768,200,0.835,0.06666666666666667,0.2857142857142857,0.10810810810810811,0.5292376017764618,"[[165, 28], [5, 2]]"
19,019,SVM,3768,200,0.965,0.0,0.0,0.0,0.4093264248704663,"[[193, 0], [7, 0]]"
19,019,XGBoost,3768,200,0.96,0.0,0.0,0.0,0.310140636565507,"[[192, 1], [7, 0]]"
20,020,LDA,3768,200,0.965,0.0,0.0,0.0,0.5758697261287934,"[[193, 0], [7, 0]]"
20,020,Logistic,3768,200,0.715,0.037037037037037035,0.2857142857142857,0.06557377049180328,0.5507031828275352,"[[141, 52], [5, 2]]"
20,020,SVM,3768,200,0.955,0.25,0.14285714285714285,0.18181818181818182,0.458919319022946,"[[190, 3], [6, 1]]"
20,020,XGBoost,3768,200,0.935,0.0,0.0,0.0,0.46780162842339007,"[[187, 6], [7, 0]]"
